id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15585961.0,Hs?,684.0,France,Male,41.0,10.0,0.0,2.0,1.0,1.0,173948.4,1.0
1,15643378.0,Bellucci,807.0,France,Male,32.0,2.0,0.0,2.0,1.0,0.0,144532.85,0.0
2,15651022.0,O'Donnell,553.0,Germany,Male,53.0,9.0,102278.52,1.0,1.0,0.0,158816.03,1.0
3,15676521.0,Chiang,587.0,France,Female,34.0,6.0,0.0,1.0,1.0,0.0,167984.72,1.0
4,15772650.0,Kambinachi,732.0,Germany,Female,30.0,5.0,135070.92,1.0,1.0,1.0,116097.26,0.0
5,15685829.0,Fiorentino,699.0,Spain,Female,26.0,1.0,61687.33,1.0,0.0,1.0,108891.3,0.0
6,15744582.0,T'ien,683.0,France,Female,22.0,2.0,0.0,1.0,1.0,1.0,175070.94,0.0
7,15747222.0,Lombardo,644.0,France,Female,27.0,4.0,92786.66,1.0,1.0,1.0,125889.2,0.0
8,15578865.0,Hsueh,602.0,France,Male,29.0,2.0,171283.91,1.0,1.0,0.0,5962.5,0.0
9,15732674.0,Rizzo,559.0,Spain,Male,55.0,8.0,0.0,1.0,1.0,0.0,167784.68,1.0
10,15766417.0,Nwankwo,641.0,Germany,Female,63.0,6.0,121276.32,1.0,1.0,0.0,88481.32,1.0
11,15711921.0,Ch'ang,523.0,Spain,Female,40.0,1.0,0.0,1.0,1.0,0.0,187616.16,1.0
12,15586680.0,Smith,679.0,France,Female,46.0,6.0,0.0,2.0,0.0,0.0,8991.17,0.0
13,15588923.0,Uvarova,516.0,France,Male,37.0,4.0,0.0,2.0,0.0,1.0,121440.8,0.0
14,15691840.0,Ch'iu,613.0,France,Female,35.0,6.0,0.0,2.0,0.0,0.0,151167.94,0.0
15,15621210.0,Nwora,592.0,France,Female,33.0,10.0,0.0,1.0,1.0,0.0,134483.09,1.0
16,15710408.0,Okwuadigbo,707.0,Spain,Male,37.0,2.0,0.0,2.0,0.0,1.0,16081.62,0.0
17,15764253.0,Pagnotto,682.0,France,Female,35.0,2.0,0.0,1.0,1.0,0.0,143628.31,0.0
18,15764409.0,Efremov,576.0,Germany,Male,42.0,9.0,114948.76,1.0,1.0,0.0,119882.86,0.0
19,15707007.0,Chibugo,683.0,Spain,Female,35.0,1.0,0.0,2.0,1.0,1.0,122268.75,0.0
20,15619343.0,Hsia,707.0,Germany,Male,35.0,3.0,106648.98,1.0,1.0,1.0,131625.15,0.0
21,15792868.0,Hsieh,623.0,France,Female,47.0,5.0,0.0,2.0,1.0,0.0,163779.42,0.0
22,15696054.0,Chin,682.0,France,Male,41.0,8.0,0.0,2.0,1.0,1.0,151903.6,0.0
23,15720354.0,Chidubem,829.0,Spain,Male,31.0,6.0,0.0,2.0,1.0,0.0,159773.14,0.0
24,15613786.0,Caffyn,498.0,France,Male,39.0,4.0,0.0,1.0,1.0,1.0,162760.96,0.0
25,15669987.0,Chia,684.0,France,Male,32.0,3.0,0.0,2.0,1.0,1.0,147964.99,0.0
26,15594786.0,Nebechukwu,753.0,France,Female,40.0,8.0,137891.55,1.0,1.0,1.0,103373.72,0.0
27,15791958.0,T'ang,757.0,France,Male,37.0,6.0,0.0,2.0,1.0,0.0,123882.73,0.0
28,15692918.0,Nnamutaezinwa,556.0,Spain,Female,49.0,2.0,140576.11,1.0,1.0,0.0,152992.04,1.0
29,15790744.0,Hsia,635.0,Germany,Male,51.0,4.0,150358.97,1.0,1.0,0.0,151425.82,1.0
30,15626507.0,Yermakova,691.0,France,Female,31.0,4.0,0.0,2.0,0.0,1.0,167564.82,0.0
31,15777616.0,H?,617.0,France,Male,59.0,9.0,0.0,1.0,1.0,0.0,26136.13,1.0
32,15782574.0,Hsiung,641.0,Germany,Male,33.0,9.0,101713.84,2.0,1.0,0.0,160829.98,0.0
33,15573086.0,Ndubuagha,756.0,Germany,Male,32.0,7.0,120911.75,2.0,1.0,0.0,177783.04,1.0
34,15684248.0,Kosisochukwu,539.0,France,Male,34.0,10.0,105420.18,1.0,1.0,1.0,140131.17,0.0
35,15622658.0,Sun,713.0,France,Female,34.0,8.0,0.0,2.0,1.0,1.0,171045.35,0.0
36,15714883.0,Ch'ang,603.0,France,Male,29.0,6.0,0.0,2.0,1.0,0.0,86044.98,0.0
37,15762799.0,Onyemauchechukwu,660.0,Germany,Male,45.0,3.0,92786.66,2.0,1.0,0.0,99449.86,0.0
38,15762799.0,Genovese,707.0,Germany,Female,44.0,4.0,121411.9,4.0,1.0,0.0,97633.93,1.0
39,15672945.0,Milne,593.0,France,Female,33.0,8.0,0.0,2.0,1.0,0.0,139953.94,0.0
40,15656029.0,Maclean,643.0,Spain,Female,44.0,4.0,0.0,1.0,1.0,0.0,157566.77,1.0
41,15673591.0,Oguejiofor,748.0,France,Male,34.0,1.0,0.0,2.0,1.0,0.0,193014.26,0.0
42,15690695.0,Chuang,642.0,France,Male,35.0,0.0,0.0,2.0,0.0,1.0,152097.02,0.0
43,15596455.0,Ts'ui,721.0,Germany,Male,46.0,7.0,115725.24,1.0,0.0,0.0,151902.78,1.0
44,15700460.0,Onuoha,526.0,France,Male,72.0,2.0,0.0,2.0,0.0,1.0,71173.64,0.0
45,15757931.0,Onyekaozulu,678.0,Spain,Male,38.0,3.0,0.0,2.0,1.0,1.0,72993.67,0.0
46,15744914.0,Chukwudi,732.0,Spain,Female,29.0,8.0,0.0,1.0,1.0,0.0,106977.8,0.0
47,15648069.0,Onyeorulu,642.0,Germany,Male,36.0,2.0,111501.66,2.0,0.0,0.0,163550.48,0.0
48,15581285.0,McLean,581.0,Spain,Male,47.0,6.0,0.0,1.0,1.0,0.0,142238.54,1.0
49,15774551.0,Tretiakov,648.0,Germany,Male,36.0,6.0,168094.01,1.0,1.0,1.0,120586.32,0.0
50,15701392.0,De Luca,707.0,France,Female,59.0,8.0,179904.0,1.0,1.0,1.0,196395.05,0.0
51,15675787.0,Milano,576.0,Germany,Female,34.0,3.0,124573.33,4.0,0.0,1.0,167023.95,1.0
52,15582944.0,Nworie,705.0,Spain,Female,33.0,9.0,0.0,2.0,1.0,1.0,166310.82,0.0
53,15657535.0,Tuan,651.0,Germany,Male,46.0,7.0,92833.89,2.0,1.0,0.0,87834.82,0.0
54,15700937.0,Olisaemeka,707.0,Spain,Male,31.0,7.0,0.0,2.0,1.0,0.0,164864.66,0.0
55,15795747.0,Nnanna,757.0,France,Male,42.0,2.0,0.0,2.0,1.0,1.0,57553.02,0.0
56,15643359.0,Calabresi,661.0,France,Male,40.0,3.0,0.0,2.0,0.0,0.0,55775.84,0.0
57,15719090.0,Chu,676.0,Spain,Male,36.0,4.0,154586.92,1.0,1.0,1.0,64375.4,0.0
58,15795519.0,Iloerika,575.0,France,Male,33.0,0.0,0.0,2.0,0.0,0.0,151733.43,0.0
59,15790299.0,Chin,807.0,France,Female,27.0,3.0,0.0,1.0,1.0,0.0,28137.03,0.0
60,15605622.0,Mazzi,699.0,France,Female,29.0,8.0,79811.72,1.0,1.0,1.0,158032.5,0.0
61,15739160.0,Nnaife,588.0,France,Female,39.0,3.0,0.0,2.0,1.0,1.0,60906.12,0.0
62,15682955.0,Okwuoma,696.0,Spain,Male,41.0,2.0,104719.94,1.0,1.0,0.0,112946.67,1.0
63,15602841.0,Ch'in,624.0,France,Female,41.0,9.0,0.0,2.0,1.0,1.0,63737.19,0.0
64,15715643.0,Ch'iu,555.0,France,Male,38.0,10.0,0.0,2.0,0.0,1.0,143774.06,0.0
65,15752372.0,Mazzanti,693.0,France,Male,38.0,2.0,0.0,2.0,1.0,0.0,83022.67,0.0
66,15604482.0,Hsiung,648.0,Spain,Female,36.0,4.0,0.0,1.0,1.0,0.0,99800.87,0.0
67,15732778.0,Ndubueze,694.0,France,Male,35.0,2.0,0.0,1.0,1.0,1.0,82709.8,1.0
68,15721921.0,Trevisani,605.0,Germany,Female,32.0,5.0,146053.66,2.0,1.0,0.0,115525.13,0.0
69,15680643.0,Onwughara,686.0,Spain,Female,33.0,3.0,0.0,2.0,1.0,0.0,103564.88,0.0
70,15602554.0,Nwankwo,642.0,France,Male,38.0,1.0,145981.87,2.0,0.0,0.0,126469.09,0.0
71,15668580.0,Mazzanti,633.0,France,Male,40.0,10.0,0.0,2.0,1.0,1.0,180150.49,0.0
72,15582616.0,Zikoranachukwudimma,692.0,Germany,Male,37.0,8.0,132044.6,1.0,0.0,1.0,64869.32,0.0
73,15636999.0,T'ien,652.0,Germany,Male,42.0,9.0,116805.2,1.0,1.0,1.0,87412.24,0.0
74,15649430.0,Onyeoruru,684.0,France,Female,32.0,1.0,89900.24,1.0,1.0,0.0,123440.11,0.0
75,15804586.0,Yocum,584.0,France,Male,38.0,6.0,136858.42,1.0,0.0,1.0,173783.38,0.0
76,15793853.0,Ch'in,675.0,France,Male,37.0,6.0,0.0,1.0,1.0,1.0,136497.28,0.0
77,15585067.0,Chiang,545.0,Spain,Male,31.0,4.0,0.0,2.0,1.0,1.0,93524.19,0.0
78,15707637.0,Echezonachukwu,586.0,France,Male,38.0,10.0,0.0,2.0,1.0,1.0,91957.39,0.0
79,15814405.0,Tsao,642.0,Spain,Male,32.0,1.0,0.0,1.0,0.0,1.0,147090.9,0.0
